,sim_asset_0
320,0.019092106
321,0.011736122
322,0.041281118
323,0.026698072
324,0.015848229
325,0.017702365
326,0.022724721
327,0.030958191
328,0.065882745
329,0.012954839
330,0.017469146
331,0.046923696
332,0.018489983
333,0.040438407
334,0.034280951
335,0.046150301
336,0.03670004
337,0.036153737
338,-0.008554499
339,0.057187368
340,0.053130139
341,0.024604612
342,0.038472401
343,0.032636509
344,0.026877289
345,0.0015496107
346,0.01716557
347,0.064856828
348,0.07006116
349,0.06369237
350,0.019802192
351,0.049648929
352,0.036913726
353,0.03594323
354,0.040446582
355,-0.003553571
356,-0.00072368629
357,0.02586882
358,0.015650183
359,0.056654739
360,0.12025088
361,0.0574654
362,-0.00064296115
363,-0.0028687421
364,0.050402705
365,0.023284354
366,0.019554155
367,0.014551604
368,0.042613379
369,0.045394228
370,0.030709952
371,0.039128558
372,0.013711763
373,-0.0016763294
374,-0.0010946854
375,0.011143397
376,0.05218605
377,0.060161084
378,0.031807258
379,0.032783377
380,0.013960959
381,0.0045403392
382,0.027531293
383,0.033990785
384,0.0086567323
385,0.024471191
386,0.035383423
387,0.033072695
388,0.024963964
389,0.019091793
390,0.035322372
391,0.022542083
392,0.023422266
393,0.049382819
394,-0.00084536997
395,-0.0032702826
396,0.01044088
397,0.0060886055
398,-0.0036219494
399,-0.0053275516
400,-0.010530252
401,-0.01033886
402,0.0098793383
403,-0.0021786578
404,0.050375863
405,0.036348963
406,0.024245418
407,0.024132298
408,0.029677742
409,0.04096949
410,0.031319007
411,0.015477866
412,0.01889586
413,0.0093313687
414,0.026369184
415,-0.013674164
416,0.049908305
417,0.00010050607
418,0.024810554
419,0.0046735518
420,0.003113684
421,0.032662221
422,0.024884473
423,0.041193626
424,0.0017736569
425,0.027836634
426,0.050129236
427,0.030812794
428,0.016411805
429,0.032707338
430,-0.0074370109
431,0.042233739
432,0.038895584
433,0.038581595
434,0.048934248
435,-0.0016513403
436,0.02878274
437,0.024334615
438,0.01563955
439,0.038251893
440,0.044667304
441,0.018784951
442,0.019000189
443,0.00010483659
444,0.02933855
445,0.051162205
446,0.0068430876
447,-0.0040045186
448,0.0036220253
449,-0.0069344529
450,0.016801657
451,0.010636577
452,0.021397757
453,0.0055188567
454,-0.0093340881
455,0.067313446
456,0.071717645
457,-0.01019744
458,0.052220619
459,0.045354013
460,0.0075746072
461,0.00026284156
462,0.03857238
463,0.0092672222
464,0.034773447
465,0.026811949
466,0.047450642
467,0.038152301
468,0.039579376
469,0.052960498
470,0.017336184
471,0.027855434
472,0.023103544
473,0.023736471
474,0.012602227
475,0.027527728
476,0.048299751
477,0.036324024
478,0.026427944
479,0.023316488
480,0.03178828
481,0.014995354
482,0.029295626
483,0.016541172
484,0.027035727
485,0.021945517
486,0.024518104
487,0.0091681332
488,0.007502111
489,0.042579912
490,0.0063485758
491,0.0093624236
492,0.048147599
493,0.012396544
494,0.0018273003
495,0.026897719
496,0.018599219
497,0.02500451
498,0.014663762
499,0.0059685169
