,sim_asset_0
259,0.0099873168
260,0.0099246442
261,0.010172042
262,0.01045418
263,0.0099106628
264,0.010243812
265,0.010072468
266,0.010315718
267,0.01010876
268,0.010200746
269,0.010061347
270,0.010097709
271,0.010357635
272,0.01039736
273,0.010396052
274,0.0099470852
275,0.0098942161
276,0.010028558
277,0.010264235
278,0.0099372489
279,0.010415415
280,0.010359685
281,0.010097238
282,0.010108124
283,0.010270885
284,0.010110186
285,0.010202944
286,0.010046919
287,0.010287209
288,0.010029246
289,0.010150842
290,0.010295904
291,0.010269282
292,0.010085967
293,0.010281471
294,0.010257269
295,0.010335229
296,0.0099598428
297,0.010147605
298,0.01016446
299,0.0101236
300,0.010206281
301,0.010353328
302,0.010104628
303,0.010133472
304,0.010077351
305,0.010104236
306,0.010115032
307,0.010160369
308,0.010227809
309,0.010186001
310,0.01020451
311,0.010040382
312,0.01025713
313,0.010306233
314,0.010205209
315,0.010264375
316,0.010077132
317,0.010142333
318,0.010136912
319,0.0099854245
320,0.010350804
321,0.010175323
322,0.01019524
323,0.010098881
324,0.010057934
325,0.010397207
326,0.010329785
327,0.010237285
328,0.010236834
329,0.010113052
330,0.01013374
331,0.010287644
332,0.01027957
333,0.010318916
334,0.010175328
335,0.01022524
336,0.010194502
337,0.010201626
338,0.010258375
339,0.010414937
340,0.01032561
341,0.010153715
342,0.010182659
343,0.010177008
344,0.010361892
345,0.010031065
346,0.010196639
347,0.01010833
348,0.010067668
349,0.010031395
350,0.010034888
351,0.010178142
352,0.010324002
353,0.009945934
354,0.010062792
355,0.010118398
356,0.010233643
357,0.010351469
358,0.010382116
359,0.010362519
360,0.009795121
361,0.010039596
362,0.01001022
363,0.010004877
364,0.010336074
365,0.010005154
366,0.01032635
367,0.0099732745
368,0.010283754
369,0.010208229
370,0.010197246
371,0.010229275
372,0.010163474
373,0.010060086
374,0.010323493
375,0.010413674
376,0.010015376
377,0.010170711
378,0.0098799721
379,0.010269721
380,0.0099755562
381,0.0099950375
382,0.010013731
383,0.010002934
384,0.010271805
385,0.010225893
386,0.010252501
387,0.010131229
388,0.01025441
389,0.01005166
390,0.010394906
391,0.010337895
392,0.010148508
393,0.01008002
394,0.010121647
395,0.010261127
396,0.010106054
397,0.010205682
398,0.010120138
399,0.01015659
400,0.010055435
401,0.010273979
402,0.010338537
403,0.010191339
404,0.010161813
405,0.010182798
406,0.01021028
407,0.010177825
408,0.010173946
409,0.010149558
410,0.010123384
411,0.010000498
412,0.0099665403
413,0.010074801
414,0.010235009
415,0.010009898
416,0.010098626
417,0.010300091
418,0.010239329
419,0.01010307
420,0.010373128
421,0.010339399
422,0.010029919
423,0.010279302
424,0.0099255286
425,0.010084441
426,0.009901487
427,0.010264508
428,0.010251056
429,0.010191325
430,0.010231784
431,0.0099550126
432,0.010078606
433,0.010162701
434,0.010381112
435,0.010172452
436,0.0099109571
437,0.010197057
438,0.010193491
439,0.010173547
440,0.010179647
441,0.01020362
442,0.010025413
443,0.010438729
444,0.010192249
445,0.009992755
446,0.010073784
447,0.010203589
448,0.010127731
449,0.010287416
450,0.010217642
451,0.010130426
452,0.010133133
453,0.010125272
454,0.010273995
455,0.010070462
456,0.010054999
457,0.010155404
458,0.010041781
459,0.010127339
460,0.010333308
461,0.010374881
462,0.010243931
463,0.0098722666
464,0.010058989
465,0.010166889
466,0.010198643
467,0.010065695
468,0.010263778
469,0.01008058
470,0.010241109
471,0.010337178
472,0.010169996
473,0.01020578
474,0.010065142
475,0.010064668
476,0.010243095
477,0.010265074
478,0.01020931
479,0.010250852
480,0.010340428
481,0.0099938507
482,0.010044516
483,0.010289973
484,0.010565812
485,0.0097942251
486,0.010045756
487,0.010250229
488,0.01026429
489,0.010239324
490,0.01027123
491,0.010117751
492,0.010050042
493,0.010273693
494,0.01015748
495,0.010238712
496,0.010224055
497,0.010317831
498,0.010130093
499,0.010188899
